0.000000000000000000e+00,2.557000000000000000e+04
0.000000000000000000e+00,2.512000000000000000e+04
0.000000000000000000e+00,2.467000000000000000e+04
0.000000000000000000e+00,2.412000000000000000e+04
0.000000000000000000e+00,2.365000000000000000e+04
1.000000000000000000e+00,2.557000000000000000e+04
1.000000000000000000e+00,2.512000000000000000e+04
1.000000000000000000e+00,2.467000000000000000e+04
1.000000000000000000e+00,2.412000000000000000e+04
1.000000000000000000e+00,2.365000000000000000e+04
2.000000000000000000e+00,2.557000000000000000e+04
2.000000000000000000e+00,2.512000000000000000e+04
2.000000000000000000e+00,2.467000000000000000e+04
2.000000000000000000e+00,2.412000000000000000e+04
2.000000000000000000e+00,2.365000000000000000e+04
3.000000000000000000e+00,2.557000000000000000e+04
3.000000000000000000e+00,2.512000000000000000e+04
3.000000000000000000e+00,2.467000000000000000e+04
3.000000000000000000e+00,2.412000000000000000e+04
3.000000000000000000e+00,2.365000000000000000e+04
4.000000000000000000e+00,2.557000000000000000e+04
4.000000000000000000e+00,2.512000000000000000e+04
4.000000000000000000e+00,2.467000000000000000e+04
4.000000000000000000e+00,2.412000000000000000e+04
4.000000000000000000e+00,2.365000000000000000e+04
